Date,Location,Operator,Type,Aboard,Fatalities,Ground,Operator_Category,Month,Year
1912-07-12,"AtlantiCity, New Jersey",Military - U.S. Navy,Dirigible,5.0,5.0,0.0,military,7,1912
1913-08-06,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1.0,1.0,0.0,other,8,1913
1913-09-09,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),20.0,14.0,0.0,military,9,1913
1915-03-05,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41.0,21.0,0.0,military,3,1915
1915-09-03,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19.0,19.0,0.0,military,9,1915
1916-07-28,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20.0,20.0,0.0,military,7,1916
1916-09-24,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22.0,22.0,0.0,military,9,1916
1916-11-21,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),28.0,27.0,0.0,military,11,1916
1916-11-28,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20.0,20.0,0.0,military,11,1916
1917-03-04,"Near Gent, Belgium",Military - German Army,Airship,20.0,20.0,0.0,military,3,1917
1917-03-30,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23.0,23.0,0.0,military,3,1917
1917-05-14,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21.0,21.0,0.0,military,5,1917
1917-06-14,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24.0,24.0,0.0,military,6,1917
1917-08-21,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18.0,18.0,0.0,military,8,1917
1917-10-20,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18.0,18.0,0.0,military,10,1917
1918-04-07,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23.0,23.0,0.0,military,4,1918
1918-08-11,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19.0,19.0,0.0,military,8,1918
1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,12,1918
1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,5,1919
1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,7,1919
1919-10-02,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1.0,1.0,0.0,other,10,1919
1919-10-30,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1.0,1.0,0.0,other,10,1919
1920-03-10,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,3,1920
1920-03-30,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,3,1920
1920-04-10,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,2.0,1.0,0.0,other,4,1920
1920-04-11,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,2.0,1.0,0.0,other,4,1920
1920-05-12,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,2.0,1.0,0.0,other,5,1920
1920-06-06,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,6,1920
1920-08-16,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1.0,1.0,0.0,commercial,8,1920
1920-08-16,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,8,1920
1920-09-01,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2.0,2.0,0.0,other,9,1920
1920-09-27,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,9,1920
1920-10-05,"Valencia, Spain",Latecoere Airlines,Breguet 14,2.0,2.0,0.0,commercial,10,1920
1920-10-15,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,10,1920
1920-11-07,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,11,1920
1920-12-14,"Cricklewood, England",Handley Page Transport,Handley Page HP-16,8.0,4.0,0.0,other,12,1920
1920-12-24,"Barcelona, Spain",Aeropostale,Breguet 14,1.0,1.0,0.0,other,12,1920
1921-02-03,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,2,1921
1921-02-09,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3.0,3.0,0.0,other,2,1921
1921-02-15,Off Gibraltar,Aeropostale,Breguet 14,2.0,2.0,0.0,other,2,1921
1921-02-22,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,2,1921
1921-04-21,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,4,1921
1921-07-16,"San Francisco, California",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,7,1921
1921-08-14,"Toulouse, France",Aeropostale,Breguet 14,2.0,2.0,0.0,other,8,1921
1921-08-24,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),46.0,46.0,1.0,military,8,1921
1921-09-06,"Paris, France",Franco-Roumaine,Potez IX,5.0,5.0,0.0,other,9,1921
1921-12-05,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,3.0,3.0,0.0,commercial,12,1921
1922-01-14,"Paris, France",Handley Page Transport,Handley Page O/10,5.0,5.0,5.0,other,1,1922
1922-02-21,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),45.0,34.0,0.0,military,2,1922
1922-04-07,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7.0,7.0,0.0,commercial,4,1922
1922-04-13,"Brooklands, England",Vickers,Vickers Viking,3.0,3.0,0.0,other,4,1922
1925-10-01,"Nittany Mt, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,10,1925
1922-06-03,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3.0,3.0,0.0,other,6,1922
1922-09-07,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,9,1922
1923-01-10,"Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,4.0,3.0,0.0,commercial,1,1923
1923-01-17,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,1.0,1.0,0.0,other,1,1923
1923-01-18,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,1,1923
1923-02-26,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,2,1923
1923-05-14,"Monsures, France",Grands Express Aeriens,Farman F-60 Goliath,6.0,6.0,0.0,other,5,1923
1923-08-27,"Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,2.0,2.0,0.0,other,8,1923
1923-09-07,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,9,1923
1923-09-14,"Berks, England",Daimler Airways,de Havilland DH-34,6.0,6.0,0.0,commercial,9,1923
1923-11-18,Russia,CCCP,Junkers F-13,4.0,2.0,0.0,other,11,1923
1923-12-06,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,12,1923
1923-12-23,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),52.0,52.0,0.0,military,12,1923
1923-12-24,"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,12,1923
1924-03-07,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,3,1924
1924-04-24,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3.0,3.0,0.0,commercial,4,1924
1924-06-08,"Barranquilla, Colombia",SCADTA,Junkers F-13,3.0,3.0,0.0,other,6,1924
1924-08-01,United States,US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,8,1924
1924-12-21,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1.0,1.0,0.0,other,12,1924
1924-12-24,"Purley, England",Imperial Airways,de Havilland DH-34B,8.0,8.0,0.0,commercial,12,1924
1925-03-22,"Near Tiflies, Georgia, USSR",Zakavia,Junkers F-13,5.0,5.0,0.0,other,3,1925
1925-04-25,"Alicante, Spain",Grands Express Aeriens,Breguet 14,4.0,4.0,0.0,other,4,1925
1925-05-25,"Alicante, Spain",Lignes Aeriennes Latecoere,Breguet 14,2.0,2.0,0.0,other,5,1925
1925-06-25,"Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4.0,4.0,0.0,commercial,6,1925
1925-06-26,"Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier H-13,2.0,2.0,0.0,other,6,1925
1925-07-20,"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1.0,1.0,0.0,other,7,1925
1925-07-24,"Budapest, Hungary",CIDNA,Potez IX,1.0,1.0,0.0,other,7,1925
1925-09-03,"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),43.0,14.0,0.0,military,9,1925
1925-11-14,"Off Boulogne-sur-Mer, France",Air Union,Farman F-60 Goliath,2.0,2.0,0.0,commercial,11,1925
1926-02-12,"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1.0,1.0,0.0,other,2,1926
1926-03-08,"Staaken, Germany",Deutche Lufthansa,Junkers F-13,1.0,1.0,0.0,other,3,1926
1926-05-31,English Channel,Air Union,Breguet 14,1.0,1.0,0.0,commercial,5,1926
1926-07-09,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F-4,2.0,2.0,0.0,commercial,7,1926
1926-07-24,"Juist, Germany",Deutsche Lufthansa,Junkers F-13,4.0,4.0,0.0,other,7,1926
1926-10-08,"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4.0,4.0,0.0,other,10,1926
1926-10-21,English Channel,Imperial Airways,Handley Page W-10,12.0,0.0,0.0,commercial,10,1926
1926-11-11,"Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,3.0,3.0,0.0,other,11,1926
1926-12-16,"Medford, Oregon",PacifiAir Transport,Ryan M-1,1.0,1.0,0.0,other,12,1926
1927-01-12,"Lille, France",KLM Royal Dutch Airlines,Fokker F-VII,2.0,2.0,0.0,commercial,1,1927
1927-03-20,"Rabat, Morocco",Grands Express Aeriens,Breguet 14,1.0,1.0,0.0,other,3,1927
1927-03-24,"Tambo, Qld, Australia",Qantas,de Havilland DH-9C,3.0,3.0,0.0,other,3,1927
1927-04-22,"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1.0,1.0,0.0,other,4,1927
1927-04-22,"Floh, Germany",Deutsche Lufthansa,Fokker FG III,2.0,2.0,0.0,other,4,1927
1927-05-02,"Algiers, Algeria",Air Union,SPCA Meteore 63,3.0,1.0,0.0,commercial,5,1927
1927-07-27,"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5.0,5.0,0.0,other,7,1927
1927-08-22,"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,11.0,1.0,0.0,commercial,8,1927
1927-09-03,"Willington, Connecticut",Colonial Air Transport,Fokker Universal,1.0,1.0,0.0,commercial,9,1927
1927-09-17,"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,12.0,7.0,0.0,commercial,9,1927
1927-09-22,"Saale, Germany",Deutsche Lufthansa,BFW M-18,4.0,2.0,0.0,other,9,1927
1927-09-23,"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6.0,6.0,0.0,other,9,1927
1927-10-06,"Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,2.0,2.0,0.0,other,10,1927
1927-10-30,"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4.0,4.0,0.0,commercial,10,1927
1927-11-16,"Strasburg, France",CIDNA,Farman F-121 Jabiru,1.0,1.0,0.0,other,11,1927
1927-11-16,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6.0,6.0,0.0,other,11,1927
1927-11-29,"Corunna, Indiana",National Air Transport,Douglas M-4,1.0,1.0,0.0,commercial,11,1927
1927-12-31,France,Latecoere Airlines,Latécoère 23,4.0,4.0,0.0,commercial,12,1927
1928-01-08,"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3.0,3.0,0.0,commercial,1,1928
1928-01-16,"Solis, Uruguay",Aeropostale,Latecoere 25,2.0,2.0,0.0,other,1,1928
1928-01-22,"Tarragona, Spain",Aeropostale,Breguet 14,2.0,2.0,0.0,other,1,1928
1928-01-22,France,Aeropostale,Breguet 14,2.0,1.0,0.0,other,1,1928
1928-01-27,"Almeria, Spain",Aeropostale,Breguet 14,1.0,1.0,0.0,other,1,1928
1928-02-26,"Marquette, Nebraska",Boeing Air Transport,Boeing 40,2.0,1.0,0.0,commercial,2,1928
1928-03-11,"Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,2.0,2.0,0.0,commercial,3,1928
1928-04-17,"Federal, Wyoming",Boeing Air Transport,Boeing 40,2.0,1.0,0.0,commercial,4,1928
1928-04-19,"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9.0,9.0,0.0,commercial,4,1928
1928-05-12,"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2.0,2.0,0.0,commercial,5,1928
1928-06-14,"Frankfurt, Germany",Deutsche Lufthansa,AEGK,5.0,5.0,0.0,other,6,1928
1928-06-22,"Lebo, Kansas",National Air Transport,Douglas M-4,1.0,1.0,0.0,commercial,6,1928
1928-07-10,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6.0,6.0,0.0,other,7,1928
1928-07-13,"Purley, England",Imperial Airways,Vickers 74 Vulcan,4.0,4.0,0.0,commercial,7,1928
1928-07-24,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,1.0,1.0,0.0,commercial,7,1928
1928-08-25,"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7.0,7.0,0.0,commercial,8,1928
1928-09-02,"Toul, France",CIDNA,Bleriot Spad 56,3.0,3.0,0.0,other,9,1928
1928-09-04,"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7.0,7.0,0.0,commercial,9,1928
1928-09-06,"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3.0,3.0,0.0,other,9,1928
1928-10-18,"Polk, Pennsylvania",National Air Transport,Douglas M-4,1.0,1.0,0.0,commercial,10,1928
1928-10-31,"Valence, France",Air Union,Bleriot Spad 56,2.0,1.0,0.0,commercial,10,1928
1928-11-15,Off Gibraltar,Aeropostale,Latecoere 32,2.0,1.0,0.0,other,11,1928
1928-11-24,"Edgerton, Ohio",Universal Airlines,Hamilton H-47,3.0,3.0,0.0,commercial,11,1928
1928-11-25,"Bristolville, Ohio",National Air Transport,Douglas M-4,1.0,1.0,0.0,commercial,11,1928
1928-11-25,"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,3.0,3.0,0.0,commercial,11,1928
1928-12-01,"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5.0,5.0,0.0,commercial,12,1928
1928-12-03,Brazil,Syndicato Condor,Dornier Wal,14.0,14.0,0.0,other,12,1928
1928-12-11,"Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,4.0,3.0,0.0,other,12,1928
1928-12-20,"Huron, Ohio",National Air Transport,Douglas M-4,1.0,1.0,0.0,commercial,12,1928
1928-12-23,"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4.0,4.0,0.0,commercial,12,1928
1928-12-31,"Reims, France",CIDNA,Blériot Spad 66,3.0,2.0,0.0,other,12,1928
1929-01-05,"Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,1.0,1.0,0.0,commercial,1,1929
1929-01-25,"Near Corfu, Greece",Aeroespresso,CMASA Wal,9.0,2.0,0.0,other,1,1929
1929-01-31,"Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,1.0,1.0,0.0,other,1,1929
1929-01-31,Off Morocco,Aeropostale,Latecoere 26,2.0,2.0,0.0,other,1,1929
1929-03-30,"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4.0,4.0,0.0,commercial,3,1929
1929-05-18,Hungary,MALERT,Fokker F-III,2.0,2.0,0.0,other,5,1929
1929-05-22,Algiers,Aeropostale,Cams 53,5.0,4.0,0.0,other,5,1929
1929-06-14,"Barcelona, Spain",Aeropostale,Breguet 14,2.0,1.0,0.0,other,6,1929
1929-06-17,"Off Dungeness, England",Imperial Airways,Handley Page W-10,13.0,7.0,0.0,commercial,6,1929
1929-06-24,"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,8.0,1.0,0.0,commercial,6,1929
1929-06-29,"Lake Constance, Switzerland",Aero Lloyd,Domier Delphin III,5.0,5.0,0.0,other,6,1929
1929-06-29,"Columbus, Ohio",Continental Air Lines,Travel Air 4000,1.0,1.0,0.0,commercial,6,1929
1929-08-11,"Clovis, New Mexico",Middle States Airlines,Lockheed Vega,4.0,4.0,0.0,commercial,8,1929
1929-08-13,"Perpignan, France",Aeropostale,Breguet 14,1.0,1.0,0.0,other,8,1929
1929-08-24,"Sochi, Russia",Ukvozduchput,Kalinin K-4,1.0,1.0,0.0,other,8,1929
1929-08-24,"Elm, Germany",Deutsche Lufthansa,Fokker FG II,5.0,4.0,0.0,other,8,1929
1929-09-02,"Needles, California",Associated Aviators,Lockheed Vega,2.0,1.0,0.0,other,9,1929
1929-09-03,"Mt. Taylor, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8.0,8.0,0.0,commercial,9,1929
1929-09-06,"Jask, Iran",Imperial Airways,de Havilland DH-66 Hercules,5.0,3.0,0.0,commercial,9,1929
1929-09-17,"Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,5.0,5.0,0.0,other,9,1929
1929-09-17,"Jacumba, California",Pickwick Airways,Fairchild 71,2.0,1.0,0.0,commercial,9,1929
1929-10-26,"Off Spezia, Italy",Imperial Airways,Short Calcutta,7.0,7.0,0.0,commercial,10,1929
1929-10-31,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2.0,2.0,0.0,commercial,10,1929
1929-11-04,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4.0,4.0,0.0,other,11,1929
1929-11-06,"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,8.0,7.0,0.0,other,11,1929
1929-11-15,"Off Corsica, France",Air Union,Liore et Olivier 190,3.0,3.0,0.0,commercial,11,1929
1929-11-30,"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1.0,1.0,0.0,commercial,11,1929
1929-12-02,"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1.0,1.0,0.0,commercial,12,1929
1929-12-14,Mediterranean Sea,Aeropostale,Bernard 192,3.0,3.0,0.0,other,12,1929
1929-12-19,"Near Berlin, Germany",Deutsche Lufthansa,Arado V1,3.0,2.0,0.0,other,12,1929
1929-12-30,"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5.0,5.0,0.0,commercial,12,1929
1930-01-10,"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1.0,1.0,0.0,commercial,1,1930
1930-01-13,"Antananarivo, Madagascar",Air Orient,Farman 190,3.0,3.0,0.0,commercial,1,1930
1930-01-19,"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16.0,16.0,0.0,commercial,1,1930
1930-01-25,"Off Ceuta, Spain",Aeropostale,Latecoere 25,2.0,2.0,0.0,other,1,1930
1930-02-03,"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,commercial,2,1930
1930-02-10,"Marden, England",Air Union,Farman F-63,2.0,2.0,0.0,commercial,2,1930
1930-04-18,"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4.0,4.0,0.0,commercial,4,1930
1930-05-10,Buenos Aires,Aeropostale,Latecoere 28,4.0,3.0,0.0,other,5,1930
1930-07-07,"Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,8.0,5.0,0.0,other,7,1930
1930-07-10,"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5.0,5.0,0.0,commercial,7,1930
1930-08-22,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,11.0,10.0,0.0,other,8,1930
1930-09-11,"Croydon, England",Sabena,Sabca F-VII,2.0,2.0,0.0,other,9,1930
1930-10-05,"Near Beauvais, France",Military - British Air Ministry,Royal Airship Works R-101,54.0,48.0,0.0,military,10,1930
1930-10-06,"Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,8.0,8.0,0.0,other,10,1930
1930-10-12,"La Rache, Morocco",Aeropostale,Latecoere 28,4.0,4.0,0.0,other,10,1930
1930-10-28,"Prince Rupert, BC, Canada",Alaska-Washington Airways,Lockheed Vega,3.0,3.0,0.0,commercial,10,1930
1930-10-30,"Near Neufchatel, France",Imperial Airways,Handley Page W-8,6.0,3.0,0.0,commercial,10,1930
1930-10-30,"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,other,10,1930
1930-11-07,"Off of Santos, Brazil",Syndicato Condor,Junkers G-24,9.0,1.0,0.0,other,11,1930
1930-12-09,"Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,6.0,4.0,0.0,other,12,1930
1931-01-08,"Melle, Belgium",Sabena,Fokker F-VII,2.0,2.0,0.0,other,1,1931
1931-01-22,"Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1.0,1.0,0.0,commercial,1,1931
1931-02-08,"Wairoa, New Zealand",Dominion Air Lines,Desoutter II,1.0,1.0,0.0,commercial,2,1931
1931-02-20,"Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,3.0,2.0,0.0,commercial,2,1931
1931-03-21,"New South Wales, Australia",Australian National Airways,Avro 10,8.0,8.0,0.0,commercial,3,1931
1931-03-31,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8.0,8.0,0.0,commercial,3,1931
1931-04-14,"Near Letschen, Germany",Deutsche Lufthansa,Messerschmitt M-20,10.0,2.0,0.0,other,4,1931
1931-05-05,"Burbank, California",PacifiAir Transport,Boeing 40,2.0,2.0,0.0,other,5,1931
1931-05-22,"Wampit, Australia",Guiena Airways,Junkers W-34,1.0,1.0,0.0,commercial,5,1931
1931-05-24,"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,1.0,1.0,0.0,commercial,5,1931
1931-06-07,"Near Sandoway, Burma",Air Orient,Fokker F-VIIB,4.0,4.0,0.0,commercial,6,1931
1931-06-11,"Walbridge, Ohio",Rubner Flying Service,Lockheed Vega 2,3.0,2.0,0.0,other,6,1931
1931-06-13,"Saarbrucken, Germany",Deutsche Lufthansa,Dornier Merkur,4.0,4.0,0.0,other,6,1931
1931-07-12,"Chicago, Illinois",Braniff Airlines,Lockheed Vega,2.0,2.0,0.0,commercial,7,1931
1931-07-14,"Temora, Australia",Australian Aerial Services,Lasco Lascowl,2.0,2.0,0.0,other,7,1931
1931-07-21,"Centralia, Illinois",American Airways,Pitcairn PA-6 Mailwing,1.0,1.0,0.0,commercial,7,1931
1931-07-24,"Kurudjevo, Bulgaria",CIDNA,Fokker F-VII,7.0,7.0,0.0,other,7,1931
1931-08-09,"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,6.0,6.0,0.0,commercial,8,1931
1931-09-16,"Oakland, California",PacifiAir Transport,Boeing 40,4.0,4.0,0.0,other,9,1931
1931-10-06,"Novia Scotia, Canada",Deutsche Lufthansa,Heinkel HE-2,3.0,3.0,0.0,other,10,1931
1931-10-14,Brazil,Syndicato Condor,Dornier Wal,3.0,3.0,0.0,other,10,1931
1931-11-05,"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,5.0,5.0,0.0,other,11,1931
1931-11-13,"Sir Lowry's pass, South Africa",Union Airways,De Havilland DH.80,3.0,3.0,0.0,commercial,11,1931
1931-11-23,"Salt Lake City, Utah",Boeing Air Transport,Boeing 40,1.0,1.0,0.0,commercial,11,1931
1931-11-26,"Pasco, Washington",Varney Air Lines,Boeing 40,1.0,1.0,0.0,commercial,11,1931
1931-12-05,"Kewanee, Illinois",Braniff Airways,Lockheed Vega 5,6.0,2.0,0.0,commercial,12,1931
1931-12-06,"Bangkok, Thailand",KLM Royal Dutch Airlines,Fokker F-VIIb-3M,7.0,5.0,0.0,commercial,12,1931
1931-12-31,"Springfield, Ohio",American Airways,Fairchild Pilgrim 100A,5.0,4.0,0.0,commercial,12,1931
1932-01-21,"Colvin Park, Ilinois",Northwest Airways,Stinson SM-2A,1.0,1.0,0.0,commercial,1,1932
1932-01-29,"Lebec, California",Century PacifiLines,Stinson SM-6000B,8.0,8.0,0.0,other,1,1932
1932-02-01,"Off Miami, Florida",Bimini Airways,Fairchild,5.0,5.0,0.0,commercial,2,1932
1932-02-02,"Rio Vista, California",Boeing Air Transport,Boeing 40,2.0,1.0,0.0,commercial,2,1932
1932-03-08,"Saint Louis, Illinois",Century Air Lines,Stinson SM-6000B,5.0,2.0,0.0,commercial,3,1932
1932-03-19,"Calimesa, California",American Airways,Fokker F-10A,7.0,7.0,0.0,commercial,3,1932
1932-03-21,"Steubenville, Ohio",Trans Continental and Western Air,Northrop Alpha,1.0,1.0,0.0,commercial,3,1932
1932-03-29,Syria,Air Orient,Farman F-190,3.0,3.0,0.0,commercial,3,1932
1932-03-31,"Bedford, Ohio",National Air Transport,Boeing 95,1.0,1.0,0.0,commercial,3,1932
1932-04-21,"Fort Wayne, Indiana",Transamerica Airlines,Stearman C-3MB,1.0,1.0,0.0,commercial,4,1932
1932-05-03,"Portland, Oregon",Varney Air Lines,Boeing 40,2.0,2.0,0.0,commercial,5,1932
1932-05-16,"Burbank, California",PacifiAir Transport,Boeing 40,3.0,3.0,0.0,other,5,1932
1932-08-12,"Beyrouth, Lebanon",Air Orient,CAMS 53,7.0,1.0,0.0,commercial,8,1932
1932-08-30,"Tubergen, Germany",A B Aerotransport,Junkers G-23,2.0,2.0,0.0,other,8,1932
1932-09-18,"Byron Bay, Australia",New England Airways,De Havilland DH-80,3.0,3.0,0.0,commercial,9,1932
1932-10-12,"Port Etienne, Mauritania",Aeropostale,Latecoere 28,1.0,1.0,0.0,other,10,1932
1932-10-26,"Villa Monte, Bolivia",Lloyd Aero Boliviano,Ford Tri-motor 5,2.0,2.0,0.0,other,10,1932
1932-10-29,"Ramsgate, England",Deutsche Lufthansa,Junkers W-33,2.0,2.0,0.0,other,10,1932
1932-11-02,"Echterpfuhl, Germany",Deutsche Lufthansa,Junkers F-13,5.0,5.0,0.0,other,11,1932
1932-11-25,"Marianna, Arkansas",Hunter Airways,Travel Air 6000,2.0,2.0,0.0,commercial,11,1932
1932-12-14,"Amarillo, Texas",Trans Continental and Western Air,Ford 5,2.0,2.0,0.0,commercial,12,1932
1932-12-26,"Wau, Australia",Guinea Airways,De Havilland DH-60,2.0,2.0,0.0,commercial,12,1932
1933-01-14,"Newark, New Jersey",Eastern Air Transport,Curtiss Condor 18,2.0,2.0,0.0,commercial,1,1933
1933-01-20,"Marietta, Georgia",American Airways,Stearman 4,1.0,1.0,0.0,commercial,1,1933
1933-01-20,"Bourne, Texas",American Airways,Stearman 4,1.0,1.0,0.0,commercial,1,1933
