Date,Location,Operator,Type,Aboard,Fatalities,Ground,Operator_Category,Month,Year
2003-06-25,"Near Rudshour, Iran",Military - IslamiRepubliof Iran Air Force,Lockheed C-130 Hercules,7.0,7.0,0.0,military,6,2003
2003-06-25,"Anchor Point, Alaska",Hallo Bay Air - Air Taxi,Cessna 180H,3.0,3.0,0.0,commercial,6,2003
2003-06-30,"Blida, Algeria",Military - Algerian Air Force,Lockheed C-130H Hercules,4.0,4.0,11.0,military,6,2003
2003-07-01,"Belem, Para, Brazil",Heringer Air Taxi,Mitsubishi MU 2B 35,4.0,4.0,0.0,commercial,7,2003
2003-07-05,"Macaé, Rio de Janeiro, Brazil",BHS - Brazilian Helicopter Services,Sikorsky  S 76 A,5.0,5.0,0.0,other,7,2003
2003-07-08,"Port Sudan, Sudan",Sudan Airways,Boeing 737-2J8C,117.0,116.0,0.0,commercial,7,2003
2003-07-13,"Off Treasure Cay, Bahamas",Air Sunshine,Cessna 402C,10.0,2.0,0.0,commercial,7,2003
2003-07-19,"Mount Kenya, Kenya",Ryan Blake Air Charter,Swearingen SA-226T Metro II,14.0,14.0,0.0,commercial,7,2003
2003-07-23,"Waialeale,Kauai, Hawaii",Jack Harter Helicopters,Bell 206B,5.0,5.0,0.0,other,7,2003
2003-08-04,"Groton, Connecticut",Jet Pro,Gates Learjet 35A,2.0,2.0,0.0,other,8,2003
2003-08-08,"Tocomita, Venezuela",Servicios Aeronauticos Sucre (SASCA),Cessna 208B Grand Caravan,16.0,1.0,0.0,other,8,2003
2003-08-20,"Kamchatka Peninsula, Russia",Khalatyrka,Mi-8 helicopter,20.0,20.0,0.0,other,8,2003
2003-08-24,"Cap Haitien, Haiti",Tropical Airways,Let 420UVP-E,21.0,21.0,0.0,commercial,8,2003
2003-08-26,"Off Hyannis, Massachusetts",US Airways Express,Beechcraft 1900D,2.0,2.0,0.0,commercial,8,2003
2003-09-11,"Near Summer Beaver, Canada",Wasaya Airways,Cessna 208B Grand Caravan,8.0,8.0,0.0,commercial,9,2003
2003-09-19,"Del Rio, Texas",Ameristar Jet Charter,Learjet 25B,2.0,1.0,0.0,other,9,2003
2003-09-19,"Near La Quemada, Mexico",Military - Mexican Air Force,Lockheed C-130A Hercules,6.0,6.0,0.0,military,9,2003
2003-09-20,"Near Meadview, Arizona",Sundance Helicopters,Aerospatiale AS350BA,7.0,7.0,0.0,other,9,2003
2003-09-27,"Gaspé, Quebec, Canada",Les Ailes de Gaspé Inc.,Piper PA31-310,3.0,3.0,0.0,other,9,2003
2003-10-03,Sao Gabriel de Cachoeria,Air taxi - Rumo Notre Air Taxi,EMB 721C Sertanejo,4.0,4.0,0.0,commercial,10,2003
2003-10-03,"Off Waikanae, New Zealand",Air Freight New Zealand,Convair CV-580F,2.0,2.0,0.0,commercial,10,2003
2003-10-11,"Uriman, Venezuela",Transmandu,Antonov AN-2TP,2.0,1.0,0.0,other,10,2003
2003-10-26,"Buenos Aires, Argentina",CATA Linea Aerea,Fairchild Hiller FH-227B,5.0,5.0,0.0,other,10,2003
2003-10-27,"Tampico, Mexico",Aeroextra,Hawker 800A,3.0,3.0,0.0,other,10,2003
2003-10-29,"Cody, Wyoming",FedEx,Cessna 208B Caravan I Super Cargomaster,1.0,1.0,0.0,other,10,2003
2003-11-02,"Near Hasi, Iraq",Military - U.S. Army,CH-47 Chinook,36.0,15.0,0.0,military,11,2003
2003-11-08,"Near Ogle, Guyana",Trans Guyana Airways,Shorts SC-7 Skyvan 3M Variant 100,7.0,2.0,0.0,commercial,11,2003
2003-11-08,"200 miles NE of Derby, Australia",Heliwork WA Pty Ltd. - Air Taxi,Robertson R44 helicopter,4.0,4.0,0.0,commercial,11,2003
2003-11-29,"Spokane, Washington",Ameriflight,Swearingen SA227AT Merlin IVC,1.0,1.0,0.0,other,11,2003
2003-11-29,"Boende, Congo",Military - Congolese Air Force,Antonov AN-26,24.0,20.0,13.0,military,11,2003
2003-12-16,"Jellicoe, Ontario, Canada",Huron Air,de Havilland DHC-3 Otter,3.0,2.0,0.0,commercial,12,2003
2003-12-18,"Mitu, Colombia",Líneas Aéreas Suramericanas,Douglas DC-9-15F,3.0,3.0,0.0,other,12,2003
2003-12-23,"Helendale, California",Pavair,Gates Learjet 24B,2.0,2.0,0.0,other,12,2003
2003-12-25,"Cotonou, Benin",Union des Transports Aeriens de Guinee,Boeing B-727-223,161.0,140.0,0.0,other,12,2003
2004-01-03,"Off Sharm el Sheikh, Egypt",Flash Air,Boeing B-737-3Q8,148.0,148.0,0.0,commercial,1,2004
2004-01-13,"Tashkent, Uzbekistan",Uzbekistan Airways,Yakovlev YAK-40,37.0,37.0,0.0,commercial,1,2004
2004-01-17,"Lake Erie, off Pelee Island, Ontario, Canada",Georgia Express,Cessna 208B Grand Caravan,10.0,10.0,0.0,other,1,2004
2004-01-28,"Ghardaïa, Algeria",Tassili Airlines,Beechcraft 1900D,5.0,1.0,0.0,commercial,1,2004
2004-02-06,"Bitonja, Bosnia-Herzegovina",Military - Government of Macedonia,Beechcraft Super King Air 200,9.0,9.0,0.0,military,2,2004
2004-02-10,"Sharjah, United Arab Emirates",Kish Airlines,Fokker F-50,46.0,43.0,0.0,commercial,2,2004
2004-02-24,"Cagliari, Italy",City-Jet,Cessna Citation 500,6.0,6.0,0.0,other,2,2004
2004-03-01,"Trefoil Island, TAS, Australia",Air taxi,Cessna 172G,4.0,4.0,0.0,commercial,3,2004
2004-03-10,"San Diego-Miramar NAS, California",Military - United States Marine Corps,Cessna UC-35D Citation Encore,4.0,4.0,0.0,military,3,2004
2004-07-12,"Off Beef Island, British Virgin Islands",Dodita Air Cargo,Convair CV-440,2.0,1.0,0.0,commercial,7,2004
2004-03-16,"Tonopah, Nevada",Military - United States Air Force,Beechcraft 1900C,5.0,5.0,0.0,military,3,2004
2004-03-18,"Hamilton Island, QLD, Australia",Air Taxi,Piper PA-32-300,6.0,6.0,0.0,commercial,3,2004
2004-03-21,"Pyote, Texas",Air Ambulance - Med-Trans Corp.,Bell 407,5.0,4.0,0.0,commercial,3,2004
2004-05-02,"Near Milpillas, Mexico",Procuradoria General de la Republica,Rockwell Gulfstream Jetprop 840,7.0,7.0,0.0,other,5,2004
2004-05-04,"Chimanta mountains, Venezuela",Venezuelian Government,Cessna 208 Grand Caravan I,7.0,7.0,0.0,other,5,2004
2004-05-05,"Carepa, Colombia",Aerotransportes Petroleros,Swearingen SA227AC Metro III,7.0,3.0,0.0,other,5,2004
2004-05-06,"Jiech, Sudan",Charter - Air Cush,Let 410UVP,10.0,6.0,0.0,commercial,5,2004
2004-05-11,"Dalang, Sudan",El Magal Aviation,Antonov AN-12,7.0,7.0,0.0,other,5,2004
2004-05-14,"Near Manaus, Brazil",Rico Linhas Aereas,Embraer 120ER Brasilia,33.0,33.0,0.0,other,5,2004
2004-05-18,"Bozoy, Kazakhstan",Aray-Avia,PZL-MieleAN-2R,12.0,1.0,0.0,other,5,2004
2004-05-25,"Near Lukla, Nepal",Yeti Airlines,de Havilland DHC-6 Twin Otter 300,3.0,3.0,0.0,commercial,5,2004
2004-06-08,"Off Libreville, Gabon",Gabon Express,BAe HS-748-232 Srs 2A,30.0,19.0,0.0,other,6,2004
2004-06-11,"Belo Horizonte, Brazil",Air taxi - Aero Air Taxi,EMB 820C Navajo,4.0,4.0,0.0,commercial,6,2004
2004-06-28,"Near Yengema, Sierra Leone",United Nations -  UTair Charter,Mi-8MTV-1,24.0,24.0,0.0,other,6,2004
2004-07-10,"Ticonderoga, New York",Capital Airlines Inc.,Piper PA-31-350 Navajo Chieftain,2.0,2.0,0.0,commercial,7,2004
2004-07-22,"Off  Macaé , Rio de Janeiro , Brazil",BHS - Brazilian Helicopter Service  Air Taxi,Sikorsky S 76,11.0,6.0,0.0,commercial,7,2004
2004-07-29,"Ononge, Papua New Guinea",Airlines of PNG,de Havilland DHC-6 Twin Otter 300,3.0,2.0,0.0,commercial,7,2004
2004-08-13,"Cincinnati, Ohio",Air Taroma,Convair CV-580,2.0,1.0,0.0,commercial,8,2004
2004-08-17,"Great Falls, Montana",Alpine Air Express,Beechcraft 99,2.0,2.0,0.0,commercial,8,2004
2004-08-18,"Near Goma, DemocratiRepubliCongo",Transworld Safaris,Cessna 208B Grand Caravan,3.0,3.0,0.0,other,8,2004
2004-08-21,"Near Maracay, Venezuela",Military - Venezuelan Air Force,Shorts 360,25.0,25.0,0.0,military,8,2004
2004-08-24,"Near Rostov-on-Don, Russia",Sibir Airlines,Tupolev 154B-2,46.0,46.0,0.0,commercial,8,2004
2004-08-24,"Near Toula, Russia",Volga-Avia Express,Tupolev 134A-3,41.0,41.0,0.0,other,8,2004
2004-08-27,"Near MGrath, Alaska",Mavrik Aire Transport,de Havilland DHC-3 Otter,3.0,1.0,0.0,other,8,2004
2004-09-09,"Villahermosa, Mexico",Jett Paqueteria SA,Rockwell CT-39A Sabreliner,2.0,2.0,0.0,other,9,2004
